No. ,Sex,Age (years),Height (cm),weight (kg)
6,F,12,145,59
20,F,12,151,49
26,F,12,118,32
7,F,13,166,59
10,F,13,160,39
2,F,14,151,41
12,F,14,166,49
15,F,14,185,81
18,F,14,176,49
25,F,14,125,33
30,F,15,152,45
24,F,16,127,49
28,F,17,112,42
1,M,12,157,66
21,M,12,115,36
3,M,13,174,58
4,M,13,171,52
8,M,13,141,47
9,M,13,166,45
14,M,14,162,51
17,M,14,157,49
19,M,14,139,41
22,M,14,159,52
23,M,14,170,49
5,M,15,198,77
11,M,15,192,73
27,M,15,154,52
13,M,16,170,64
16,M,17,184,73
29,M,17,170,83
